# 中国城市经度数据
# 用于真太阳时修正
# 公式：偏移分钟 = (城市经度 - 120.0) × 4

## 直辖市
广安	106.63	-53.48
达州	107.47	-50.12
雅安	103.00	-68.00
巴中	106.74	-53.04
资阳	104.64	-61.44
贵阳	106.71	-53.16
六盘水	104.83	-60.68
遵义	106.91	-52.36
安顺	105.95	-56.20
毕节	105.29	-58.84
铜仁	109.18	-43.28
昆明	102.83	-68.68
曲靖	103.80	-64.80
玉溪	102.55	-69.80
保山	99.16	-83.36
昭通	103.72	-65.12
丽江	100.23	-79.08
普洱	100.97	-76.12
临沧	100.09	-79.64
拉萨	91.11	-115.56
昌都	97.17	-91.32
林芝	94.36	-102.56
山南	91.76	-112.96
日喀则	88.88	-124.48
西安	108.94	-44.24
铜川	108.94	-44.24
宝鸡	107.14	-51.44
咸阳	108.72	-45.12
渭南	109.50	-42.00
延安	109.49	-42.04
汉中	107.02	-51.92
榆林	109.73	-41.08
安康	109.03	-43.88
商洛	109.94	-40.24
兰州	103.84	-64.64
嘉峪关	98.28	-86.88
金昌	102.18	-71.28
白银	104.14	-63.44
天水	105.72	-57.12
武威	102.64	-69.44
张掖	100.45	-78.20
平凉	106.67	-53.32
酒泉	98.51	-85.96
庆阳	107.64	-49.44
定西	104.58	-61.68
陇南	104.92	-60.32
西宁	101.78	-72.88
海东	102.10	-71.60
海北	100.90	-76.40
黄南	102.01	-71.96
海南	100.62	-77.52
果洛	100.24	-79.04
玉树	97.01	-91.96
海西	97.36	-90.56
银川	106.27	-54.92
石嘴山	106.39	-54.44
吴忠	106.20	-55.20
固原	106.24	-55.04
中卫	105.20	-59.20
乌鲁木齐	87.62	-129.52
克拉玛依	84.89	-140.44
吐鲁番	89.19	-123.24
哈密	93.52	-105.92
昌吉	87.31	-130.76
博尔塔拉	82.06	-151.76
巴音郭楞	86.15	-135.40
阿克苏	80.26	-158.96
克孜勒苏	76.17	-175.32
喀什	75.99	-176.04
和田	79.92	-160.32
伊犁	81.32	-154.72
塔城	82.98	-148.08
阿勒泰	88.13	-127.48
香港	114.17	-23.32
澳门	113.55	-25.80
台北	121.50	+6.00
台中	120.67	+2.68
台南	120.19	+0.76
高雄	120.28	+1.12
新竹	120.96	+3.84
嘉义	120.43	+1.72
台东	121.14	+4.56
花莲	121.60	+6.40
宜兰	121.75	+7.00
基隆	121.73	+6.92
澎湖	119.58	-1.68
金门	118.34	-6.64
马祖	119.95	-0.20

## 真太阳时修正说明

### 计算公式
偏移分钟 = (城市经度 - 120.0) × 4

### 使用示例
- 北京：偏移 = (116.40 - 120.0) × 4 = -14.4分钟
  出生时间 8:20 → 真太阳时 = 8:20 - 14.4分钟 = 8:05.6
- 上海：偏移 = (121.47 - 120.0) × 4 = +5.88分钟
  出生时间 8:20 → 真太阳时 = 8:20 + 5.88分钟 = 8:25.88
- 成都：偏移 = (104.07 - 120.0) × 4 = -63.72分钟
  出生时间 8:20 → 真太阳时 = 8:20 - 63.72分钟 = 7:16.28

### 时辰对照表
- 子时：23:00 - 01:00（子初：23:00-00:00，子正：00:00-01:00）
- 丑时：01:00 - 03:00（丑初：01:00-02:00，丑正：02:00-03:00）
- 寅时：03:00 - 05:00（寅初：03:00-04:00，寅正：04:00-05:00）
- 卯时：05:00 - 07:00（卯初：05:00-06:00，卯正：06:00-07:00）
- 辰时：07:00 - 09:00（辰初：07:00-08:00，辰正：08:00-09:00）
- 巳时：09:00 - 11:00（巳初：09:00-10:00，巳正：10:00-11:00）
- 午时：11:00 - 13:00（午初：11:00-12:00，午正：12:00-13:00）
- 未时：13:00 - 15:00（未初：13:00-14:00，未正：14:00-15:00）
- 申时：15:00 - 17:00（申初：15:00-16:00，申正：16:00-17:00）
- 酉时：17:00 - 19:00（酉初：17:00-18:00，酉正：18:00-19:00）
- 戌时：19:00 - 21:00（戌初：19:00-20:00，戌正：20:00-21:00）
- 亥时：21:00 - 23:00（亥初：21:00-22:00，亥正：22:00-23:00）

### 注意事项
1. 真太阳时修正对于八字排盘的时辰准确性至关重要
2. 跨时辰边界的情况需要特别注意（如8:59经修正后变为9:01，从辰时变为巳时）
3. 偏移量为负表示当地时间晚于北京时间，需要减去偏移量
4. 偏移量为正表示当地时间早于北京时间，需要加上偏移量
